Date,Open,High,Low,Close,Adj Close,Volume
2007-06-08,62.049999,62.349998,61.459999,62.130001,39.486885,13943800
2007-06-11,62.889999,62.889999,62.150002,62.270000,39.575859,9082200
2007-06-12,62.250000,62.410000,61.759998,61.830002,39.296207,11908200
2007-06-13,61.910000,62.259998,61.320000,62.180000,39.518654,14814400
2007-06-14,62.200001,62.610001,62.180000,62.450001,39.690250,9093400
2007-06-15,62.590000,63.119999,62.570000,62.770000,39.893627,16817100
2007-06-18,62.849998,62.900002,62.230000,62.330002,39.613983,8489300
2007-06-19,62.340000,62.669998,62.200001,62.419998,39.671181,11399300
2007-06-20,62.520000,62.840000,61.990002,62.040001,39.429680,11311700
2007-06-21,61.910000,62.340000,61.790001,62.110001,39.474163,10370700
2007-06-22,61.849998,61.980000,60.730000,60.730000,38.597099,22060300
2007-06-25,61.000000,61.509998,60.970001,61.110001,38.838612,12967700
2007-06-26,61.360001,61.959999,61.320000,61.650002,39.181816,13908200
2007-06-27,61.150002,61.529999,61.070000,61.450001,39.054707,14158300
2007-06-28,61.500000,61.840000,61.200001,61.500000,39.086475,9515800
2007-06-29,61.580002,61.939999,61.209999,61.619999,39.162754,12025100
2007-07-02,61.939999,62.000000,61.380001,61.849998,39.308907,8090400
2007-07-03,62.000000,62.279999,61.880001,61.950001,39.372471,4716100
2007-07-05,62.099998,62.419998,61.869999,62.279999,39.582211,8299700
2007-07-06,62.099998,62.400002,62.000000,62.130001,39.486885,7558900
2007-07-09,62.360001,63.330002,61.990002,62.720001,39.861843,18794500
2007-07-10,62.720001,62.849998,62.119999,62.200001,39.531357,14338300
2007-07-11,62.200001,62.990002,62.150002,62.860001,39.950825,11145900
2007-07-12,63.049999,63.410000,62.619999,63.360001,40.268593,11042400
2007-07-13,63.470001,63.599998,63.009998,63.430000,40.313087,8999400
2007-07-16,63.369999,63.880001,63.279999,63.799999,40.548244,13368200
2007-07-17,62.880001,63.520000,62.279999,62.740002,39.874565,27568400
2007-07-18,62.509998,62.900002,62.020000,62.200001,39.531357,16892500
2007-07-19,62.349998,62.700001,62.060001,62.389999,39.652107,12653800
2007-07-20,62.389999,62.500000,61.720001,61.790001,39.270779,13773900
